SCHOOL NAME ,REGION,LOCATION,GENDER,BUSINESS COURSE,TECHINICAL COURSE,AGRICULTURE SCIENCE COURSE,GENERAL ARTS COURSE,VISUAL ARTS COURSE,HOME ECONOMICS COURSE,GENERAL SCIENCE COURSE,NUMBER OF COURSES OFFERED,STATUS
Mankessim Senior High/Tech,CENTRAL,Mankesim,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
"Methodist High School,Saltpond",CENTRAL,Saltpond,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Kwegyir Aggrey Senior High,CENTRAL,Anomabo,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day
Abeadze State College,CENTRAL,Abeadze Domeabra,Mixed,Yes,No,No,Yes,Yes,No,No,3,Day/Boarding
J.E.A. Mills Senior High,CENTRAL,Otuam,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Aggrey Mem. A.M.E.Zion Snr. High,CENTRAL,Cape Coast,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Aburaman Senior High,CENTRAL,Abura Dunkwa,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Abakrampa Senior High/Tech,CENTRAL,Abakrampa,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Moree Comm. Senior High,CENTRAL,Moree,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Day
Apam Senior High,CENTRAL,Apam,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Potsin T.I. Ahm. Senior High,CENTRAL,Potsin,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day/Boarding
Gomoa Senior High/Tech,CENTRAL,Dawurampon,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Mozano Senior High,CENTRAL,Mozano,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
"College of Music Senior, Mozano",CENTRAL,Mozano,Mixed,Yes,No,No,Yes,No,Yes,No,3,Day
Gomoa Gyaman Senior High,CENTRAL,Gomoa Gyaman,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day
Winneba Senior High,CENTRAL,Winneba,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Senya Senior High,CENTRAL,Senya,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Obrachire Senior High/Tech,CENTRAL,Obrakyere,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Awutu Winton Senior High,CENTRAL,Awutu ,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Fettehman Senior High ,CENTRAL,Gomoa Fetteh,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Awutu Bawjiase Comm. Senior High,CENTRAL,Bawjiase,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Odupong Comm. Day School,CENTRAL,Odupong-Kasoa,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Mando Senior High/Tech. ,CENTRAL,Mando,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Bisease Senior High/Com,CENTRAL,Bisease,Mixed,Yes,No,No,Yes,No,Yes,Yes,4,Day/Boarding
Enyan Denkyira Senior High,CENTRAL,Denkyira,Mixed,Yes,Yes,Yes,Yes,No,Yes,No,5,Day/Boarding
Enyan Maim Comm. Day School,CENTRAL,Enyan Maim ,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Breman Asikuma Senior High,CENTRAL,Breman Asikuma,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Odoben Senior High,CENTRAL,Odoben,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Brakwa Senior High/Tech,CENTRAL,Brakwa,Mixed,Yes,Yes,Yes,Yes,No,Yes,No,5,Day/Boarding
Nyakrom Senior High Tech,CENTRAL,Nyakrom,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day/Boarding
Swedru Sch. Of Business,CENTRAL,Swedru,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day/Boarding
Nsaba Presby Senior High,CENTRAL,Nsaba,Mixed,Yes,No,No,Yes,No,Yes,Yes,4,Day/Boarding
Kwanyako Senior High ,CENTRAL,Kwanyako,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Swedru Senior High,CENTRAL,Swedru,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Siddiq Senior High Sch.,CENTRAL,Agona Nyakrom,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Agona Namonwora Comm.Senior High,CENTRAL,Agona Namonwora,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Agona Fankobaa Senior High,CENTRAL,Agona Fankobaa,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Boa-Amponsem Senior High,CENTRAL,Dunkwa-On-Offin,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Dunkwa Senior High/Tech,CENTRAL,Dunkwa-on-Offin,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day
Diaso Senior High ,CENTRAL,Diaso,Mixed,Yes,No,Yes,Yes,No,Yes,No,4,Day
Ayanfuri Senior High,CENTRAL,Ayanfuri,Mixed,Yes,No,No,Yes,No,Yes,No,3,Day
Twifo Praso Senior High,CENTRAL,Twifo Praso,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Jukwa Senior High,CENTRAL,Jukwa,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Twifo Hemang Senior High/Tech,CENTRAL,Heman,Mixed,Yes,Yes,No,Yes,No,Yes,No,4,Day/Boarding
Assin Manso Senior High,CENTRAL,Assin Manso,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Obiri Yeboah Senior High/Technical,CENTRAL,Assin Fosu,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day/Boarding
Nyankumase Ahenkro Snr. High,CENTRAL,Nyankumase Ahenkro,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day
Assin North Senior High/Tech,CENTRAL,Assin Asempaneye,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Adankwaman Senior High,CENTRAL,Assin Darmang,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day/Boarding
Assin Nsuta Agric. Senior High,CENTRAL,Assin Nsuta,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day/Boarding
Assin State College,CENTRAL,Assin Bereku,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Gyaase Community Senior High,CENTRAL,Assin-Akonfudi,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Takoradi Senior High,WESTERN,Tanokrom,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Sekondi College ,WESTERN,Sekondi,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Archbishop Porter Girls Snr.High .,WESTERN,Sekondi,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Ghana Senior High/Tech,WESTERN,Takoradi,Boys,No,Yes,No,Yes,No,No,Yes,3,Day/Boarding
Fijai Senior High,WESTERN,Sekondi,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Ahantaman Girls' Senior High,WESTERN,Sekondi-Ketan,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
"St. John's Senior High, Sekondi",WESTERN,Sekondi,Boys,Yes,No,No,Yes,Yes,No,Yes,4,Day/Boarding
Bompeh Senior High./Tech,WESTERN,Takoradi,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day
Diabene Senior High/Tech,WESTERN,Diabene,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Adiembra Senior High,WESTERN,Diabene,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Shama Senior High,WESTERN,Shama,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
"Methodist Senior High, Sekondi",WESTERN,Sekondi,Mixed,Yes,No,No,Yes,No,Yes,Yes,4,Day
"St. Mary's Boys' Senior High, Apowa",WESTERN,Apowa,Boys,Yes,No,Yes,Yes,Yes,No,Yes,5,Day/Boarding
Baidoo Bonso Senior High/Tech,WESTERN,Agona Nkwanta,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Sankor Comm. Day School,WESTERN,Sankor,Mixed,Yes,No,Yes,Yes,No,Yes,No,4,Day
Nsein Senior High,WESTERN,Nsein,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Nkroful Agric. Senior High,WESTERN,Nkroful,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Esiama Senior High/Tech,WESTERN,Esiama,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day/Boarding
Bonzo-Kaku Senior High,WESTERN,Awiebo,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Axim Girls Senior High,WESTERN,Axim,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Uthman Bin Afam SHS,WESTERN,Kamgbunli,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
Gwiraman Comm.Senior High,WESTERN,Bamianko,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Half Assini Senior High,WESTERN,Half Assini,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Annor Adjaye Senior High,WESTERN,Ezilibo,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Asankrangwa Senior High,WESTERN,Asankragwa,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Amenfiman Senior High,WESTERN,Wasa Akropong,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Asankrangwa Senior High/Tech,WESTERN,Asankragwa,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day
Manso-Amenfi Comm. Day School,WESTERN,Manso-Amenfi,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Sefwi-Wiawso Senior High,WESTERN NORTH,Sefwi-Wiawso,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Sefwi-Wiawso Senior High/Tech,WESTERN NORTH,Sefwi-Wiawso,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Asawinso Senior High,WESTERN NORTH,Asawinso,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
Akontombra Senior High ,WESTERN NORTH,Akontombra,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
"St. Joseph Senior High, Sefwi Wiawso",WESTERN NORTH,Sefwi Wiawso,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Nsawora Edumafa Comm. Senior High School,WESTERN,Nsawora Edumafa,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Bibiani Senior High/Tech.,WESTERN NORTH,Bibiani,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day/Boarding
Sefwi Bekwai Senior High,WESTERN NORTH,Sefwi Bekwai,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
"Queens Girls' Senior High, Sefwi Awhiaso",WESTERN NORTH,Sefwi Awhiaso,Girls,Yes,No,Yes,Yes,No,Yes,No,4,Day/Boarding
Chirano Comm. Day School,WESTERN NORTH,Chirano,Mixed,Yes,No,Yes,Yes,No,No,Yes,4,Day
Juaboso Senior High,WESTERN NORTH,Juaboso,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Bia Senior High/Tech,WESTERN NORTH,Debiso Essiam,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day/Boarding
Bodi Senior High,WESTERN NORTH,Bodi,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Adjoafua Comm. Senior High,WESTERN NORTH,Adjoafua,Mixed,Yes,No,Yes,Yes,No,No,Yes,4,Day
Huni Valley Senior High,WESTERN,Huni Vallley,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
"St. Augustine's Senior High, Bogoso",WESTERN,Bogoso,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
Fiaseman Senior High,WESTERN,Bankyim Tarkwa*,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Tarkwa Senior High,WESTERN,Tarkwa,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Prestea Senior High/Tech,WESTERN,Prestea,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day
Benso Senior High/Tech,WESTERN,Benso,Mixed,Yes,Yes,Yes,Yes,No,Yes,No,5,Day/Boarding
Nana Brentu Senior High/Tech,WESTERN NORTH,Enchi,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day
Dadieso Senior High,WESTERN NORTH,Dadieso,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Daboase Senior High/Tech,WESTERN,Daboase,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Mpohor Senior High,WESTERN,Mpohor,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Asanteman Senior High,ASHANTI,Bantama,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
"St. Louis Senior High, Kumasi",ASHANTI,Oduom-Kumasi,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Kumasi Girls Senior High,ASHANTI,Abrepo,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
"T. I. Ahmadiyya Senior High , Kumasi",ASHANTI,Kumasi - Stadium ,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Kumasi Academy,ASHANTI,Asokore Mampong,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Osei Kyeretwie Senior High,ASHANTI,Old Tafo - Kumasi,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
"Anglican Senior High, Kumasi",ASHANTI,Asem-Kumasi,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day
Prempeh College,ASHANTI,Sofoline-Kumasi,Boys,Yes,No,No,Yes,Yes,No,Yes,4,Day
KNUST Senior High,ASHANTI,KNUST,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day
Opoku Ware Senior High,ASHANTI,Santasi-Kumasi,Boys,Yes,No,No,Yes,Yes,No,Yes,4,Day
Kumasi Senior High,ASHANTI,Gyinyase-Kumasi,Boys,Yes,No,Yes,Yes,Yes,No,Yes,5,Day
Kumasi Senior High/Tech,ASHANTI,Patasi-Kumasi,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day/Boarding
"Armed Forces Senior High/Tech, Kumasi",ASHANTI,Bantama-Kumasi,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Kumasi Wesley Girls High Sch,ASHANTI,Old Tafo -  Kumasi ,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
"Adventist  Senior High, Kumasi",ASHANTI,Bantama-Kumasi,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
"Islamic Senior High, Ampabame",ASHANTI,Ampabame,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
"St. Hubert Sem/Senior High, ",ASHANTI,Santasi-Kumasi,Boys,Yes,No,No,Yes,No,No,Yes,3,Day
Serwaah Nyarko Girls' Snr. High,ASHANTI,Dichemso,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Tawheed Senior High.,ASHANTI,Kumasi-Akwatia Line,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Sakafia Islamic Senior High,ASHANTI,Sawaba,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
"Pentecost Senior High, Kumasi",ASHANTI,"Breman West, Kumasi",Mixed,Yes,No,No,Yes,Yes,Yes,No,4,Day
"Al-Azariya Islamic Snr. High, ",ASHANTI,"Old Tafo, Kumasi",Mixed,Yes,No,No,Yes,No,Yes,Yes,4,Day
"Uthmaniya Senior High, Tafo",ASHANTI,Tafo,Mixed,Yes,No,No,Yes,No,Yes,Yes,4,Day
Ofoase Kokoben Senior High,ASHANTI,Ofoase Kokobin ,Mixed,Yes,No,No,Yes,Yes,Yes,No,4,Day/Boarding
"Nuru-Ameen Islamic Senior High, Asewase",ASHANTI,Asewase,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
"Agric Nzema Senior High, Kumasi",ASHANTI,"Kumasi, Agric Nzema",Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Parkoso Comm. Senior High,ASHANTI,Parkoso,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Yaa Asantewaa Girls Senior High .,ASHANTI,Tanoso-Kumasi,Girls,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Toase Senior High,ASHANTI,Toase,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
"Osei Tutu Senior High, Akropong",ASHANTI,Akropong,Boys,Yes,No,Yes,Yes,Yes,No,Yes,5,Day/Boarding
Nkawie Senior High/Tech,ASHANTI,Nkawie,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Mpasatia Senior High/Tech,ASHANTI,Mpasatia,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Nyinahin Cath. Senior High,ASHANTI,Nyinahin,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Barekese Senior High,ASHANTI,Barekese,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Atwima Kwanwoma Snr High/Tech,ASHANTI,Trede,Mixed,Yes,Yes,No,Yes,Yes,Yes,No,5,Day/Boarding
Adobewora Comm. Senior High,ASHANTI,Adobewora,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Kwanwoma Senior High/Tech,ASHANTI,Adum Kwanwoma,Mixed,Yes,Yes,No,Yes,Yes,No,No,4,Day
"S.D.A. Senior High, Bekwai",ASHANTI,Bekwai,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Oppong Mem. Senior High,ASHANTI,Kokofu,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Jacobu Senior High/Tech.,ASHANTI,Jacobu,Mixed,No,Yes,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
"St. Joseph Senior High/Tech, Ahwiren",ASHANTI,Ahwiren,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Bosome Senior High/Tech.,ASHANTI,Asiwa,Mixed,Yes,Yes,No,Yes,No,Yes,Yes,5,Day/Boarding
"Wesley High School, Bekwai",ASHANTI,Bekwai,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Denyaseman Cath.Senior High,ASHANTI,Poano,Mixed,Yes,No,Yes,Yes,Yes,No,No,4,Day
Tweapease Senior High School,ASHANTI,Tweapease,Mixed,Yes,No,No,Yes,No,No,No,2,Day
Mansoman Senior High,ASHANTI,Manso Atwere,Mixed,Yes,No,No,Yes,No,Yes,Yes,4,Day
Esaase Bontefufuo Snr. High/Tech.,ASHANTI,Esaase Bontefufuo,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Manso-Adubia Senior High,ASHANTI,Adubia,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day
Nsutaman Cath. Senior High,ASHANTI,Nsuta,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
"St. Monica's Senior High, Mampong ",ASHANTI,Mampong,Girls,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Amaniampong Senior High,ASHANTI,Mampong,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
"St. Joseph Sem/Senior High, Mampong",ASHANTI,Mampong,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
"Presby Senior High/Tech, Kwamang",ASHANTI,Kwamang,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Day/Boarding
Ghana Muslim Mission Senior High,ASHANTI,Beposo,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Okomfo Anokye Senior High,ASHANTI,Wiamoase,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
"S.D.A. Senior High, Agona",ASHANTI,Agona,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Konadu Yiadom Catholic Senior High,ASHANTI,Asamang,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Otumfuo Osei Tutu II College,ASHANTI,Tetrem,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Adu Gyamfi Senior High,ASHANTI,Jamasi,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Agona Senior High/Tech,ASHANTI,Agona,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Kofiase Adventist Senior High/Tech.,ASHANTI,Kofiase,Mixed,Yes,No,No,Yes,Yes,Yes,No,4,Day/Boarding
Opoku Agyeman Senior High/Tech,ASHANTI,Apaah,Mixed,No,Yes,No,Yes,No,Yes,No,3,Day
Afigyaman Senior High School,ASHANTI,Kyekyewere,Mixed,Yes,No,No,Yes,No,No,No,2,Day
Antoa Senior High,ASHANTI,Antoa,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Simms Senior High/Com.,ASHANTI,Fawoade,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Adanwomase Senior High,ASHANTI,Adanwomase,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Aduman Senior High,ASHANTI,Aduman,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Kofi Adjei Senior High/Tech,ASHANTI,Bampenase,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Gyaama Pensan Senior High/Tech,ASHANTI,Aboaso-Ashanti,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day
"Adventist Girls Senior High, Ntonso",ASHANTI,Ntonso,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
"St. Michael's Senior High, Ahenkro",ASHANTI,Ahenkro,Mixed,Yes,No,No,Yes,Yes,Yes,No,4,Day/Boarding
Dwamena Akenten Senior High,ASHANTI,Offinso,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Akumadan Senior High,ASHANTI,Akumadan,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Namong Senior High/Tech,ASHANTI,Namong,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Day
"St. Jerome Senior High, Abofour",ASHANTI,Abofour,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Nkenkansu Community Senior High,ASHANTI,Nkenkansu,Mixed,Yes,No,No,Yes,Yes,Yes,No,4,Day
Asuoso Comm. Senior High,ASHANTI,Asuoso,Mixed,Yes,No,Yes,Yes,No,No,Yes,4,Day
Ejuraman Anglican Senior High,ASHANTI,Ejura,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Sekyedumase Senior High/Tech,ASHANTI,Sekyedumase,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Bankoman Senior High,ASHANTI,Banko,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day/Boarding
Akwesi Awobaa Senior High,ASHANTI,Anyinasu,Mixed,Yes,Yes,No,Yes,No,No,No,3,Day
Agogo State College,ASHANTI,Agogo,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Konongo Odumase Senior High .,ASHANTI,Odumase,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
"Collins Senior High/Commercial, Agogo",ASHANTI,Agogo,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Owerriman Senior High,ASHANTI,Domeabra,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Juaso Senior High/Tech,ASHANTI,Juaso,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day/Boarding
Bompata Presby Senior High,ASHANTI,Bompata,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Ofoase Senior High/Tech,ASHANTI,Ofoase,Mixed,No,Yes,Yes,Yes,No,Yes,Yes,5,Day/Boarding
Banka Comm. Senior High,ASHANTI,Banka,Mixed,Yes,No,No,Yes,No,Yes,Yes,4,Day
Dompoase Senior High,ASHANTI,Dompoase,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Obuasi Senior High/Tech,ASHANTI,Obuasi,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day/Boarding
Fomena T.I. Ahmad Senior High,ASHANTI,Fomena,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
"Christ the King Cath., Obuasi",ASHANTI,Obuasi,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Akrofuom Senior High/Tech,ASHANTI,Akrofuom,Mixed,No,Yes,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Asare Bediako Senior High .,ASHANTI,Akrokerri,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
New Edubiase Senior High,ASHANTI,New Edubiase,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Bodwesango Senior High,ASHANTI,Bodwesango,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Tepa Senior High ,ASHANTI,Tepa,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Maabang Senior High/Tech,ASHANTI,Maabang,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Mankranso Senior High,ASHANTI,Mankranso,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Adugyama Comm. Senior High,ASHANTI,Adugyama,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Ejisuman Senior High,ASHANTI,Ejisu,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Jachie Pramso Senior High,ASHANTI,Jachie Pramso,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Juaben Senior High,ASHANTI,Juaben,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Ejisu Senior High/Tech,ASHANTI,Ejisu,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Bonwire Senior High/Tech,ASHANTI,Bonwire,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Achinakrom Senior High,ASHANTI,Achinakrom,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
St. George's Senior High Tech.,ASHANTI,Kuntanase,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day/Boarding
